Date,Open,High,Low,Close,Volume
5/10/2016,1257.5,1266.969971,1248,1261.449951,1158534
5/11/2016,1250,1262.800049,1245,1259.150024,1598716
5/12/2016,1260.280029,1284.949951,1260.280029,1283.099976,1513082
5/13/2016,1282.5,1283,1255.069946,1261.699951,1621730
5/16/2016,1269,1282.400024,1261.25,1275.569946,1111526
5/17/2016,1282.099976,1295.619995,1276,1285.099976,1756698
5/18/2016,1282.930054,1282.930054,1263.030029,1275.550049,1500740
5/19/2016,1277.5,1280,1263.050049,1278.469971,1038792
5/20/2016,1271.150024,1282.900024,1261.400024,1264.650024,1230918
5/23/2016,1272,1272.949951,1240.099976,1245.719971,1533016
5/24/2016,1242,1244.119995,1229.800049,1233.849976,1339158
5/25/2016,1240.5,1266.469971,1240.5,1263.219971,1548678
5/26/2016,1265,1282.449951,1252.550049,1274.349976,1943248
5/27/2016,1276.569946,1289.930054,1275.300049,1286.319946,1104676
5/30/2016,1291.5,1320.969971,1291,1318.199951,1349464
5/31/2016,1320,1323.5,1281,1284.699951,3722608
6/1/2016,1285.599976,1322.5,1285.5,1316.780029,1911942
6/2/2016,1300,1327.150024,1300,1325.069946,1408756
6/3/2016,1325.699951,1329,1310.25,1314.780029,1554922
6/6/2016,1310.25,1319.5,1301.599976,1306.25,1322026
6/7/2016,1307,1319.5,1306.5,1315.569946,1202194
6/8/2016,1308.619995,1314.280029,1302.75,1306.550049,938266
6/9/2016,1311.199951,1311.199951,1277.599976,1288.619995,1562138
6/10/2016,1283,1301.619995,1276.599976,1277.880005,1396832
6/13/2016,1270,1276.680054,1259,1273.5,1029978
6/14/2016,1279.469971,1279.469971,1259.119995,1267.430054,977570
6/15/2016,1265,1282.449951,1261,1278.430054,1270844
6/16/2016,1272.780029,1282.349976,1258.219971,1279.150024,1145070
6/17/2016,1279.5,1305,1279.5,1301.300049,1878988
6/20/2016,1301.300049,1334,1295.900024,1329.650024,1872838
6/21/2016,1331.75,1332.5,1320.699951,1325.599976,1027690
6/22/2016,1325,1338.849976,1315.880005,1333.819946,1761712
6/23/2016,1327.5,1329.75,1312.650024,1322.680054,1397014
6/24/2016,1282.569946,1296.599976,1257.069946,1286.969971,3766586
6/27/2016,1273.5,1273.5,1241.319946,1247.930054,4272566
6/28/2016,1247.930054,1251.449951,1229.199951,1231.969971,4499524
6/29/2016,1237.5,1256.25,1232.650024,1251.449951,2531264
6/30/2016,1261,1281.449951,1250.180054,1276.550049,5121812
7/1/2016,1281,1282.300049,1247.180054,1250.430054,2197296
7/4/2016,1258,1262.930054,1241,1247.099976,1883484
7/5/2016,1247.099976,1248.530029,1238.569946,1242.650024,1559748
7/7/2016,1243.849976,1245.930054,1212.5,1214.900024,3316800
7/8/2016,1217.5,1221.030029,1201.75,1213.300049,2456356
7/11/2016,1215,1235.900024,1213.5,1232.069946,1543632
7/12/2016,1235.849976,1237.5,1217.930054,1232.469971,1465536
7/13/2016,1239,1249.619995,1225.619995,1246.550049,2102300
7/14/2016,1243,1264.5,1235.5,1260.949951,2699988
7/15/2016,1258.5,1263.900024,1213.280029,1222.680054,8336366
7/18/2016,1223.5,1234.5,1215.300049,1216.719971,2598850
7/19/2016,1213.75,1236.400024,1213.75,1233.099976,2362896
7/20/2016,1225,1251.25,1224.069946,1247.469971,2815252
7/21/2016,1244.75,1259.75,1232.219971,1253.030029,2527148
7/22/2016,1249.449951,1262,1246,1257.550049,1517216
7/25/2016,1256,1281.599976,1252.900024,1279.469971,1688796
7/26/2016,1279.469971,1284,1266.5,1276.300049,2311290
7/27/2016,1277.5,1290.199951,1272.5,1288.780029,1750510
7/28/2016,1290.25,1314.780029,1288.530029,1309.619995,4632080
7/29/2016,1307,1317.449951,1299.5,1309.650024,2488084
8/1/2016,1316,1362.5,1316,1354.119995,3961704
8/2/2016,1351.449951,1357.849976,1344.900024,1349.599976,2578162
8/3/2016,1343,1349.5,1324.530029,1328.150024,2294702
8/4/2016,1335,1341.469971,1318.119995,1326,1415416
8/5/2016,1336.949951,1342.150024,1316,1324.550049,1868484
8/8/2016,1320,1334,1314.530029,1324.75,2058244
8/9/2016,1329,1329.900024,1289.430054,1325.099976,2261914
8/10/2016,1325.5,1341,1324,1337.699951,2062078
8/11/2016,1332.780029,1357.5,1332.780029,1354.949951,2233138
8/12/2016,1352.5,1372.400024,1351.030029,1369.219971,2327358
8/16/2016,1369,1370,1336.930054,1345.849976,3183754
8/17/2016,1349.5,1349.5,1309,1312.280029,1848566
8/18/2016,1317.5,1328.780029,1315.050049,1319.280029,1292064
8/19/2016,1320,1323.219971,1300,1301.75,2416244
8/22/2016,1294,1297.219971,1268.150024,1274.349976,2265274
8/23/2016,1272.469971,1302.469971,1270.099976,1300.530029,1503374
8/24/2016,1294.900024,1301,1284.530029,1286.030029,1116878
8/25/2016,1290,1294.849976,1263,1275.530029,1939690
8/26/2016,1279.900024,1286.280029,1258.599976,1262.469971,1250314
8/29/2016,1267.469971,1267.469971,1233.380005,1250.280029,1488728
8/30/2016,1255,1274.900024,1250.619995,1272.069946,1444026
8/31/2016,1275,1275,1250.430054,1255.650024,3231668
9/1/2016,1262.449951,1267.469971,1243.530029,1253.75,1345736
9/2/2016,1256,1259.699951,1248.030029,1257.400024,1742330
9/6/2016,1259.949951,1260.069946,1240,1242.030029,2239066
9/7/2016,1249.849976,1249.849976,1211.5,1220.280029,3854040
9/8/2016,1180,1180,1142.380005,1161.050049,7021516
9/9/2016,1164.849976,1183.319946,1160.030029,1176.219971,2742438
9/12/2016,1168.5,1181.969971,1162,1179.530029,2024454
9/14/2016,1181,1188.800049,1155,1164.219971,2069858
9/15/2016,1169.969971,1171.050049,1158.380005,1163.469971,2818964
9/16/2016,1168.349976,1188,1160,1180.849976,4358004
9/19/2016,1182.5,1213.5,1175,1205.719971,2802546
9/20/2016,1205.5,1208.449951,1192.699951,1203.25,1184552
9/21/2016,1203.849976,1212,1200.349976,1206.699951,1678020
9/22/2016,1212.619995,1214,1185.550049,1189,2857574
9/23/2016,1191,1201.930054,1185.569946,1199.050049,1800726
9/26/2016,1200.550049,1209.550049,1197.5,1200.550049,1753476
9/27/2016,1200.550049,1224,1200.550049,1218.050049,2038792
9/28/2016,1215.5,1218.75,1207.599976,1211.530029,1731328
9/29/2016,1217.5,1228.25,1209.800049,1218.900024,3603958
9/30/2016,1218.530029,1224.900024,1211.550049,1215.400024,2175364
10/3/2016,1225,1228.819946,1200.550049,1205.849976,1818880
10/4/2016,1210,1212.530029,1199,1202.569946,1780718
