Date,Open,High,Low,Close,Volume,A/D line,ohlc,aroon up,aroon down,ATR,DMI+,DMI-,ADX,sma18,upper bb,lower bb,CMF,ema2,macd,signal,histogram,Mfi,OBV,PPO,ROC,ROC%,ROC Ratio,stdev,median P,AO,mom cp,mom low,mom high,mom op,WMA3,UPC,LPC,TMA20,PCp,Phigh,Plow,rsi2,stsd,stck,b%,Dx
4/17/2008,761,766.5,753,760.5,282042,-1150433.741,760.25,0,40,31.27225311,13.01084174,25.43637038,21.96949615,787.1416693,784.0058181,723.8741987,-0.132157458,758.4447432,-26.22624847,-23.2037282,-3.022520264,31.78506646,-6031842,-3.302597221,340.0024,0.005819368,1.005819368,15.84607307,759.75,-72.84867696,-26.400024,-22,-53.200012,-57.849976,758.3333233,819.700012,725.099976,813.893248,756.099976,765,751.299988,95.65194707,68.3647533,27.25174554,0.609093879,32.31841261
4/21/2008,750,783.5,725,768.299988,354947,-979937.9775,756.699997,0,30,33.21709218,11.3741322,22.23658125,23.70745345,784.8138902,775.2759746,728.884035,-0.110586864,765.0477572,-24.35709683,-23.43440193,-0.922694903,32.74860365,-5676895,-3.074214425,679.9988,0.010256394,1.010256394,12.22534951,754.25,-68.43514515,3.700012,-36.150024,-8.5,-40.200012,763.6666567,792,725,813.5433457,760.5,766.5,753,100,67.27171023,33.30768308,0.84962934,32.31841261
4/22/2008,765,769,753.599976,757.849976,283323,-1106881.643,761.362488,90,20,31.94444445,11.18371342,21.47086822,25.91334471,780.0361124,773.4696297,729.3403799,-0.139257136,760.2252438,-23.45978391,-23.43947833,-0.020305583,39.17965165,-5960218,-2.970001178,-1145.0012,-0.013601474,0.986398526,11.62907838,761.299988,-62.06809078,-1.800048,15.549988,-0.900024,-3,761.774984,783.5,725,811.2241214,768.299988,783.5,725,42.73966027,65.08543932,25.26921231,0.646047604,31.5029447
4/23/2008,757.849976,769.900024,754.25,765.049988,446646,-937072.1745,761.762497,90,10,30.78055728,10.77755401,27.11910346,28.95442223,775.5611131,775.0310008,728.8590016,-0.101773109,763.4578224,-21.92812935,-23.13720853,1.20907918,38.7667536,-5513572,-2.782219088,620.0012,0.009500577,1.009500577,12.16739011,762.075012,-56.4097062,20.399964,14.150024,4.900024,-7.150024,763.1916507,783.5,725,812.1600344,757.849976,769,753.599976,40.79321365,63.19953533,32.29837742,0.783829746,43.12134775
4/24/2008,775.799988,777,726.549988,747.049988,2313324,-1370390.992,756.599991,80,0,32.18551833,9.570871718,24.08277984,30.88247912,770.4916687,775.011096,729.3588992,-0.134795295,752.4645734,-21.92711106,-22.89518904,0.968077973,29.80051979,-7826896,-2.792283208,-1900,-0.023527874,0.976472126,12.03041016,751.774994,-54.79573544,13.399964,1.450012,32,30.799988,754.849986,783.5,725,806.2526162,765.049988,769.900024,754.25,28.57146259,55.43977362,23.28403929,0.387518894,43.12134775
4/25/2008,732,754,732,737.950012,856302,-1763510.522,738.987503,70,0,31.4579813,9.09277552,25.55907483,32.69832062,764.9444478,774.1539611,731.0760317,-0.165922854,742.7398172,-22.42406952,-22.80096513,0.376895612,29.66018356,-8683198,-2.86766539,-1009.9976,-0.012181214,0.987818786,11.35203113,743,-54.16779426,0.049988,2,5.150024,-4,745.5,783.5,725,798.8027603,747.049988,777,726.549988,0,31.61547712,19.32837612,0.159570814,47.51924974
4/28/2008,737.950012,749,720.200012,722.349976,1017479,-2629076.735,732.375,60,90,31.26812464,8.494558306,23.92322395,33.88876419,759.1305576,778.1530028,723.9669804,-0.221362494,729.0786236,-23.82946533,-23.00666517,-0.82280016,28.07811356,-9700677,-3.063741542,-1660.0036,-0.021139692,0.978860308,14.2792707,734.600006,-53.38014618,-16.800048,-10.299988,1.099976,-7.049988,731.6666567,783.5,720.200012,791.521184,737.950012,754,732,0,14.47875751,3.396468258,-0.029841725,47.59321758
4/29/2008,720,736.700012,720,731.150024,782363,-2366725.967,726.962509,50,90,30.22754516,11.06586388,22.97915095,34.17917439,754.4305589,779.126842,721.3931412,-0.194670457,730.4664619,-23.9862175,-23.20257564,-0.783641858,28.57624944,-8918314,-3.09689431,780.0048,0.012182527,1.012182527,15.21416601,728.350006,-54.23778981,-25.149964,-7.599976,-23.200012,-19.150024,729.350006,783.5,720,782.7284419,722.349976,749,720.200012,36.06564633,22.40460056,17.55909291,0.168998049,34.99275044
4/30/2008,734.900024,749,730,742.099976,927579,-2112864.584,739,40,80,29.42557765,20.96917956,21.91932501,31.74033465,750.6222229,777.7756286,719.9043522,-0.177082707,738.2609163,-22.98227864,-23.15851624,0.1762376,37.03190163,-7990735,-2.975995503,994.9952,0.014976341,1.014976341,15.25042036,739.5,-53.86088098,-14,-21.299988,-16,-30.099976,735.1583253,783.5,720,774.3383671,731.150024,736.700012,720,100,57.32758621,34.80311181,0.383534374,2.215384886
5/2/2008,751.099976,791.900024,751.099976,787.900024,1868089,-611067.1143,770.5,90,70,30.23803982,23.20018318,19.80677898,29.91406969,750.6777784,789.2491903,714.7908001,-0.035612985,771.5191185,-18.28334721,-22.18348243,3.900135227,51.00927042,-6122646,-2.364174079,4480.0048,0.061716816,1.061716816,19.62150866,771.5,-45.82764448,27.400024,-1.900024,25.400024,-9.900024,763.175008,791.900024,720,766.6519732,742.099976,749,730,100,84.87239038,94.43671952,0.981880265,7.890360133
